,Topic,Words,Frequency,Timestamp
364,8,"inacif, unsitragua, sindicato, welfare, trabajadores",10,2007.6
365,9,"salvador, sutc, stecg, sitravx, sitcom",20,2007.6
366,10,"corah, risaralda, inces, sutcorah, restructuring",10,2007.6
367,11,"sintrajap, rica, costa, febas, sebana",9,2007.6
368,12,"refineries, sinesss, cob, sunat, essalud",16,2007.6
369,13,"mined, granada, nerpe, sitravice, diriomo",2,2007.6
370,14,"mpt, paulo, brazil, conalis, ratification",11,2007.6
371,15,"elsamex, sl, cntd, codacsa, ciramar",4,2007.6
372,16,"guayaquil, fetrapec, ecuador, elctrica, constituent",5,2007.6
373,17,"jlcadf, strm, ballot, mexican, sptctrm",20,2007.6
374,18,"afa, uruguay, cofe, pit, uruguayan",10,2007.6
375,19,"honduras, futh, hourly, proneh, sitrarenape",2,2007.6
376,20,"ix, fetrapec, budget, atelca, fonafe",11,2007.6
377,21,"sinatt, steibi, itaip, paraguay, paraguayo",6,2007.6
378,22,"odebrecht, panama, suntracs, retraneq, sintup",3,2007.6
379,23,"cob, fensegural, bolivia, cstsb, panduro",3,2007.6
380,24,"sinaltracaf, inces, sintrainces, comfenalco, tolima",8,2007.6
381,27,"suontraj, magistracy, fee, organized, possibly",1,2007.6
382,28,"sintradoc, randy, telebucaramanga, philippines, ustc",2,2007.6
383,29,"entre, quattropani, bad, ros, teaching",5,2007.6
384,-1,"infom, cns, uso, institution, antiunion",99,2011.2
385,0,"vega, victoriano, abel, perpetrators, construction",43,2011.2
386,1,"pension, colombia, inpec, sinaltrainal, liquidation",37,2011.2
387,2,"siprosat, sintrasancarlos, sgtbcvbg, founding, juntos",27,2011.2
388,3,"sutap, aires, buenos, uejn, cgtra",11,2011.2
389,4,"cst, nominations, amendments, sinte, losep",17,2011.2
390,5,"telefnica, sitentel, sempe, peru, epsa",31,2011.2
391,6,"freites, bolivarian, venezuela, cement, carabobo",14,2011.2
392,7,"intercompany, cbt, buses, chile, fesuc",11,2011.2
393,8,"sitracogua, guatemalan, olympic, stopgn, guatemala",22,2011.2
394,9,"insaforp, anep, salvador, finance, salvadorian",12,2011.2
395,10,"contracting, sintraime, unitracoop, sintraimtcol, apse",21,2011.2
396,11,"pais, undeca, ucr, barrantes, ccss",2,2011.2
397,12,"sinesss, essalud, sn, idac, pickets",8,2011.2
398,13,"stigss, stopgn, stidpp, igss, pumay",1,2011.2
399,15,"adca, asitraredo, idac, cnus, dominican",3,2011.2
400,16,"losep, purchase, redundancy, ecuador, ecuadorian",3,2011.2
401,17,"snmm, sntmmss, stims, ballot, voting",2,2011.2
402,19,"comercial, similares, cemcol, sitraccmaccos, casa",2,2011.2
403,20,"fonafe, budget, budgetary, ftlf, arbitrators",8,2011.2
404,21,"drrling, paredes, secp, salary, readjustment",1,2011.2
